roi_set	roi	test	kind	t	p	dz	n	p_holm
urpe	Superior frontal sulcus R	urpe vs surprise	paired	4.448772744995845	4.058513854086811e-05	0.5841524797489608	58	0.0017857460957981968
urpe	Superior frontal sulcus R	rpe vs surprise	paired	-1.927080845173229	0.058959179195578894	-0.253038111611996	58	0.5895917919557889
urpe	Superior frontal sulcus R	rpe vs neg_urpe	paired	3.340278960155712	0.0014809263616355137	0.43860011501442997	58	0.038971881539222285
urpe	Superior frontal sulcus R	surprise vs neg_urpe	paired	5.881895466288477	2.2437611395659145e-07	0.7723307121321146	58	1.5930704090917993e-05
urpe	Superior frontal sulcus R	urpe vs neg_urpe	paired	5.595680313806169	6.54110521618089e-07	0.734748821429261	58	4.382540494841196e-05
urpe	dmPFC R	rpe vs 0	onesample	-0.8949920564517327	0.3745552252280714	-0.11751821437046447	58	1.0
urpe	dmPFC R	urpe vs 0	onesample	7.001162999156655	3.167683283600564e-09	0.9192977392887371	58	1.4571343104562594e-07
urpe	dmPFC R	surprise vs 0	onesample	0.34878999067578403	0.7285320939317989	0.0457983694928131	58	1.0
urpe	dmPFC R	urpe vs rpe	paired	4.345730644561383	5.781841271517155e-05	0.570622389106538	58	0.0023934099928719513
urpe	dmPFC R	urpe vs surprise	paired	5.906663686575772	2.0442796936859825e-07	0.7755829387863228	58	1.4718813794539074e-05
urpe	dmPFC R	rpe vs surprise	paired	-0.9646250449971255	0.33880748535831295	-0.12666147370572192	58	1.0
urpe	dmPFC R	rpe vs neg_urpe	paired	3.843373925211452	0.00030778980085892984	0.5046597202655859	58	0.009849273627485755
urpe	dmPFC R	surprise vs neg_urpe	paired	6.567160529223733	1.6687642891405356e-08	0.8623104231095362	58	1.3683867170952392e-06
urpe	dmPFC R	urpe vs neg_urpe	paired	7.001162999156655	3.167683283600564e-09	0.9192977392887371	58	2.819238122404502e-07
